5.0905|5.0905|29.7852|29.7852
5.0905|5.0905|29.7852|29.7852
5.0905|5.0905|29.7852|29.7852
5.0905|5.0905|29.7852|29.7852
3.7903|3.3365|29.8365|29.734
0.4881|0.453|29.8881|29.6824
-0.5297|-1.6092|29.9403|29.6302
-1.0341|-1.6181|29.9931|29.5775
-2.0516|-2.6539|30.0468|29.5239
-2.0424|-2.6632|30.1011|29.4696
-1.9307|-1.5678|30.1049|29.4659
-2.0674|-0.5849|29.9542|29.6163
-1.0579|-0.5677|29.8532|29.7173
-1.5798|-0.559|29.8025|29.768
1.2623|1.2564|29.8026|29.7678
0.9869|0.4676|29.8028|29.7677
0.4736|-0.0458|29.8029|29.7676
0.491|0.4501|29.9056|29.6649
0.4912|-0.0634|29.9066|29.6639
-0.0774|-0.5908|29.9078|29.6627
-0.5351|-0.0638|29.9089|29.6616
-0.5436|-0.5686|29.8588|29.7117
-1.5614|-1.6041|29.9108|29.6597
0.4296|0.812|29.9123|29.6582
-0.0297|-0.0559|29.8622|29.7083
-0.0383|-0.0473|29.8116|29.7589
-0.1025|0.3776|29.7606|29.8099
-0.0383|0.4661|29.8116|29.7588
0.4751|-0.0473|29.8119|29.7586
-0.0382|-0.5607|29.8121|29.7583
-0.0294|-0.5695|29.8637|29.7068
-1.5606|-1.0917|29.9158|29.6547
0.4304|-0.0402|29.9174|29.6531
-0.02|-0.0655|29.9189|29.6516
-0.0753|-0.1213|29.9204|29.6502
-0.5329|-0.066|29.9217|29.6488
-0.0193|-0.0662|29.9231|29.6474
0.4943|-0.5798|29.9246|29.646
-0.0188|-0.0667|29.926|29.6445
-0.0186|-0.067|29.9275|29.643
-0.0183|0.4461|29.929|29.6415
-1.0534|-1.0854|29.8792|29.6912
0.7434|1.1077|29.8806|29.6899
-0.0264|-0.5725|29.8816|29.6889
-0.0262|-0.0594|29.8827|29.6878
-0.0173|0.4451|29.9351|29.6355
-0.017|-0.0686|29.9368|29.6338
-0.0167|-0.0689|29.9385|29.632
-0.0164|-0.5825|29.9403|29.6302
-0.0248|-0.0608|29.891|29.6795
-1.4864|-1.0687|29.9437|29.6268
0.8523|0.815|29.8949|29.6756
-0.5372|-0.575|29.8962|29.6743
-0.0236|-0.0619|29.8976|29.6729
0.4899|-0.0622|29.8991|29.6714
-0.0232|-0.0624|29.9005|29.67
-0.0054|-0.0801|30.0046|29.566
-0.0137|-0.0719|29.9564|29.6142
-0.0775|-0.1191|29.9075|29.663
-1.5617|-0.5772|29.9091|29.6614
0.8551|0.8122|29.9112|29.6593
-0.021|-0.0645|29.913|29.6575
-0.0207|-0.5782|29.9148|29.6557
-0.0117|-0.0739|29.968|29.6025
-0.0112|-0.0743|29.9707|29.5998
-0.0107|-0.5881|29.9735|29.5971
-0.0744|-0.1221|29.9254|29.6451
-0.5319|-0.067|29.9276|29.6429
-1.0448|-1.0941|29.93|29.6405
0.8588|0.3828|29.9328|29.6377
-0.0173|-0.0683|29.9352|29.6353
-0.0081|-0.0775|29.9891|29.5815
-0.5208|-0.078|29.9925|29.5781
-0.0069|-0.0786|29.996|29.5746
-0.0705|-0.1261|29.9485|29.622
-0.0145|-0.0711|29.9514|29.6191
-0.014|-0.0716|29.9544|29.6161
-1.0401|-0.5854|29.9575|29.6131
1.2893|0.378|29.9613|29.6092
-0.0122|0.44|29.9647|29.6058
-0.0116|-0.0739|29.9682|29.6024
-0.0023|-0.0832|30.0229|29.5477
-0.0569|-0.1396|30.0282|29.5424
-0.0006|-0.5983|30.0332|29.5374
-0.0084|-0.0772|29.9874|29.5832
-0.5122|-0.0867|30.0432|29.5274
0.0021|-0.601|30.0489|29.5217
-1.0235|-1.1154|30.0555|29.5152
0.8809|0.7864|30.063|29.5077
0.0056|-0.0912|30.0696|29.5011
